Категория;Анекдот
Вовочка;Урок пения в школе. Учительница вызвала Вовочку: - Каких ты знаешь композиторов? А Вовочка не учил. Стоит и смотрит на соседа по парте. Тот взял книгу, стукнул по парте. - Бах, - сказал Вовочка. - Правильно. Кто еще? Друг вырвал из тетради листок листок. - Лист. - Хорошо, еще. - Членников. - Не Членников, а Хренников. А ты, Петров, убери подсказку.
Вовочка;"Мать- Вовочка, за что у тебя двойка по физкультуре? - Учитель сказал: ""Видишь, стоит козел?"" Обложи его матами"". - Ну и что? - Я ответил: ""Николай Петрович, вижу вас хорошо. Мать вашу так и растак!"""
Вовочка;Учительница сказала на уроке: - А сегодня мы будем работать по-новому. То я вам задавала вопросы, а тепери вопросы будете задавать вы. Будете называть первую и последнюю буквы слова. И по тому, какое это будет слово, я буду оценивать ход ваших мыслей. Итак начнем с тебя, Катя. - П и Н, - сказала Катя. Учительница подумала и сказала: - Не знаю. - Пушкин - Молодец, девочка. Мне нравиться ход твоих мыслей. А теперь ты Сережа. - Л и В. Учительница призналась, что не может догадаться. - Лермонтов. - Молодец. Можно и Ломоносов. Мне нравится ход твоих мыслей. Ну а ты, Вовочка, что-нибудь придумал? - Х и И краткое - Бесстыдник и хулиган, - покраснев, гневно сказала учительница. - Вон из класса! И без родителей не приходи. Проходя мимо учительского стола, Вовочко сказал: - Вообще-то это Хемингуэй. Но мне нравится ход ваших мыслей, Элла Ивановна.
Вовочка;Сидят Вовочка с Машенькой на уроке и балаболят. Машенька: - Вот горе у меня, залетела, а от кого - не знаю! Вовочка: - Это фигня. Вот я триппер подхватил, а где - не пойму. Учительница: - Прекратите болтать на уроке! Вовочка, сколько будет шестью шесть? Вовочка: - Тридцать шесть! Мне бы ваши заботы, Марья Ивановна!
Вовочка;Пришел Вовочка в школу, а учительница его и спрашивает: - Где ты был вчера? - У меня дедушка вчера умер. - Инфаркт что-ли? - Да нет, у нас вчера в доме пожар был. - Так он сгорел? - Нет. - В дыму задохнулся? - Нет, он как пожар начался в окно выпрыгнул. - А-a, так он разбился? - Нет, пожарные тент натянули. - Так в чем дело? - Тент под ним спружинил и его обратно в окно вкинуло. - Ну и тогда он уже сгорел, задохнулся? - Нет, он опять выпрыгнул и опять в окно обратно попал. - Ладно Вовочка, хватит, что с дедушкой стало? - Да пристрелили его, надоел он всем.
Вовочка;Вовочка стоит во дворе и кричит: - Наташа! Из окна высовывается заспаный отец Наташи: - Она уже спать легла! Может, я чем помогу? - Нет, мне Наташа нужна как женщина! Через пять минут во двор вылетает Наташа - в мини-юбке и полупрозрачной блузке. - Знаешь, Наташа. - Говорит ей Вовочка, - Мой мячик в женский туалет закатился...
Вовочка;Вовочка выходит из школы, там его Маша встречает и просит поднести портфель до дома, он говорит хорошо, дошли они до дома Маша ему говорит: - Может быть пойдем чай попьем? - Сейчас, я только быстренько в аптеку сбегаю. - ? - Куплю что нибудь к чаю.
Вовочка;- Ваш сын вторую неделю настойчиво приглашает меня в ресторан. - А это вы правильно делаете, что сразу не соглашаетесь.
Вовочка;Директор приводит в класс новую учительницу: - Дети, это ваша новая учительница. Надеюсь, вам она понравится. Вовочка: - Да, фигурка ничего. Директор (гордо): - Сам выбирал!
Вовочка;Приходит Вовочка домой, и кричит: - МАМА ! МАМА ! Я ПЯТЕРКУ ПОЛУЧИЛ !!! А мама ему и говорит: - Тише Вовочка ! Тише ! Горе у нас в семье .... Брата твоего Сашу арестовали... Он бомбу в царя кинул !
Вовочка;"Вовочка пригласил Танечку к себе домой. Купил торт, цветы, бутылку коньяка и сигареты, выставил все на стол и ждет. Проходит час. Вовочка думает: ""Танечка из хорошей семьи, пить не будет"". Убрал бутылку. Проходит еще час. Вовочка думает: ""Танечка из хорошей семьи, она не курит"". Убрал сигареты. Тут звонок в дверь. Входит Танечка. Вовочка спрашивает: - А ты чего в школьном платье пришла? - Так ведь завтра в школу..."
Вовочка;-мам, а мам можно я надену лифчик?-Нельзя! -Мам, но мне ведь уже 15 лет. -Отстань Вова - вечно ты со своими дурацкими глупостями!
Вовочка;"После просмотра партиотического фильма учитель спрашивает у детей, кому кто понравился. Одному подвиг солдата, другом - как санитарка раненего спасла. А Вовочка говорит: - А мне больше всего понравился наркоман. - Какой такой наркоман. Там не было наркоманов. - Был, он все время затягивался и говорил, ""Хороший у вас план товарищ Жуков"""
Вовочка;Женился папа Вовочки 2й раз и спрашивает у сына: -Ну как тебе твоя новая мама? Вовочка отвечает: -Папа, тебя жестоко обманули, не такая она уж и новая.
Вовочка;"На уроке училка диктует предложение: В углу скребет мышь. Вовочка спрашивает: -Марь Иванна , а кто такой ""скр""?"
Вовочка;Комната в общежитии. Родители решили потрахаться. Говорят Вовочке: - Вовочка, иди посмотри в окно, расскажи, что на улице... Вовочка пошел к окну: - Вот Миша на велосипеде едет, вот Маша в песочнице пирожки лепит. Вот Таня в соседнем доме в окно смотрит. Наверное, тоже родители трахаются
Вовочка;"Вовочка в школе написал: ""Маша - Бл$дь"" Приходит учительница и говорит, 3 раза скажи, что Маша не бл$дь и извинись. Вовочка: ""Маша не бл$дь? Ма-а-а-аша не бл$дь? М-а-а-а-аша не бл$-$-$-$-$дь? Ну-у-у-у... Ну извини-и-и-и…"""
Вовочка;Вовочка спрашивает у мамы: - Мама, скажи, а откуда дети берутся? - Я же тебе говорила, их приносит аист. - Знаю, что аист. Но кто же аиста трахает?..
Вовочка;В школе учитель(у) спрашивает у детей каких они знают доисторических животных. Машенька:я знаю- были мамонты ! (у):правильно,а еще ? Вовочка: еще были папонты ! (у):а это кто ? Вовочка:а они мамонтов трахали !!!
Вовочка;Папа приводит своего (C)ына в школу устраивать. В школе (Д)иректор беседует с мальчиком: Д: - Мальчик как тебя зовут? Молчание... Д: - Мальчик, а сколько тебе лет? Молчание... Д: - Мальчик, а ты любишь играть в футбол? Молчание... Директор зоворит отцу, чтобы приводил, когда говорить научит. Через год отец приводит сына. Д: - Мальчик как тебя зовут? С: - Леееееха! Д: - А сколько тебе лет? C: - Девяять! Д: - А ты любишь играть в футбол? C: - Люююблююю!! Д: - А еще чего любишь? C: - Леееееха! Д: - Чего-чего?! 8-( ) С: - Девяяять!
Вовочка;Вовочка пришел домой из школы. -Тебя сегодня вызывали ?-спросил отец. -Вызывали,-отвечает Вовочка. -Ну и как? Завтра тебя вызовут.
Вовочка;Идет урок биологии в школе. Училка: - Вовочка, это какая часть тела человека? (показывает на плакате) Вовочка: - Жопа! Училка: - Нет такого слова!!! (возмущенно) Вовочка: - Ну как это?! Жопа есть, а слова нет?!
Вовочка;Урок в школе. Учитель спрашивает: - Кто сможет доказать эту теорему? Маша, ты знаешь? (Молчание...) -Вовочка ты сможешь доказать эту теорему? (В) - Б@я буду! (У) - Садись, верю!
Вовочка;"Мать уехала в командировку. Отец утром встает, хватает своего сынишку, одевает его, пичкает завтраком и ведет в садик, там не принимают, он бежит в другой, потом еще, еще... Устал, замотался, присел на лавочку, а сынишка стоит рядом, в носу ковыряет, и говорит:""Слуш-ка, бать, пока ты меня по детсадам таскаешь, наши контрольную переходную в 5 класс дописывают"""
Вовочка;- Куда девается аист после того, как принесет ребенка? - Обратно в штаны.
Вовочка;"Маленький мальчик подходит к маме и говорит: - Мам, а что такое аборт? Та начинает объяснять, потом спохватившись: - А где ты это слово услышал? - Моряки шли и пели: ""А волны бились аборт корабля..."
Вовочка;(В)Вовочка на уроке послал (МИ)Марь Иванну на х&й. МИ пришла к (Д)директору вс? рассказала. (Д) -Вовочку ко мне СРОЧНО! Приходит Вовочка. (Д) -Как ты мог оскорбить учительницу? (В) нахально так -А у Вас носки ВОНЯЯЮТ... (Д) 8-( ) ЧТООООО?!!! Ну-ка отца! В школу! Быстро! (В) -А он не может, у него партсобранее в облисполкоме... (Д) смущенно -Вовочка выди-ка на минутку. Вовочка выходит. (Д) -Значит делаем так, Марь Иванна, Вы - ид?те на х&й, а я иду стирать носки.
Вовочка;Учительница, на уроке : Марья Ивановна говорит детям : (МИ) Дети придумайте стишок ,чтобы в нем были слова тиски и молоток! Вовочка после длительного раздумья тянет руку и говорит : (В) МарИванна ,а можно вввместо слова молоток поставить слово кувалда? (МИ) А зачем ? (В) Чтобы сильней удар был! (МИ) Ну ставь если хочешь... (В) Тогда я придумал !!! (МИ) Рассказывай (В) Если вас поставить раком , И зажать соски в тиски , А кувалдой двинуть в с#аку , Где окажутся мозги ? :)
Вовочка;Дети играют во дворе и разговаривают откуда они появились на свет. Вовочка: Меня нашли в капусте. Машенька: А меня аист прин?с. И.Т.Д. Маленькая Катя (прыгая на прыгалках): Можно подумать, можно подумать у нас в доме никто не еб*тся.
Вовочка;"В школе училка (У) выясняет, у кого кем родители работают. Машенька: -- У меня папа инженер, а мама учительница. Сережа: -- Мой папа -- директор овощной базы, а мама -- домохозяйка. Вовочка (В): -- А у меня папа -- Шерлок Холмс! (У) -- Как это? (В) -- Каждый вечер он приходит домой, заходит в туалет и орет в унитаз: ""Уатсон! Уа-а-атсон!"""
Вовочка;"- Дети, что значит: ""Я люблю, ты любишь, он любит?"" - спрашивает учительница. - Я думаю, - отвечает Вовочка, - что это такая ситуация, при которой один наверняка будет убит."
Вовочка;-Вовочка,ты знаешь кто такой Чапаев? -Конечно знаю. -Ну? Кто? -Негр ессно.. -C чего ты взял? -Ну он же с белыми воевал.
Вовочка;Решила, значить, пионер-вожатая (ПВ) пригласить к детям кого-нибудь из воевавших в Великую Отечественную пионеров, для патриотического воспитания молод?жи. Пригласила старого Вовочку(В). Собрались пионеры, слушают... (ПВ)- Расскажите нам, Владимир Дармидонтович о том как вы вовали. (В)- Да ч? там! Был на позиции, подносил солдатам снаряды к пушке. (ПВ)- Солдаты, конечно, были рады вашей помощи?! (В)- Да, они так и говорили: Зер гуд, Вольдемар! Зер гуд!...
Вовочка;(В)овочка подходит к (П)апе и спрашивает: В -- Папа, а что значит пьяный? П -- Вот видешь за окном 2 дерева, так вот, если бы я был пьян, то видел бы там 4 дерева. В -- Хорошо папа, только там 1 дерево...
Вовочка;- Чего кричишь, Вовочка? - Меня побили! - За что? - Потому что я кричал...
Вовочка;- Папочка, купи мне барабан! - Вовочка, дай мне отдохнуть, у меня на работе достаточно шума и без барабана. - Купи, папочка! Я буду на нем играть только, когда ты будешь спать.
Вовочка;В глухой деревне женился физик и уехал в свадебное путешествие, а с высшим образованием больше никого нет. Ну Начальство в школе поискало, да и остановилось на батюшке (попе). Проведи урок физики, заплатим, на службу всем селом сходим...(etc) Значит заходит он в класс, здоровывается и задает первый вопрос: - Что на свете тяжелее всего? Вовочка руку тянет. - Отвечай отрок Владимир. - Х$р!!! - О!!! Обоснуй... - Ну если не захочет встать, ничем не поднимешь. - Озорно, но верно. - Ну а тады что на свете всего легче? Вовочка опять руку тянет. - Х$р!!! (ответил Вовочка) - О!!! Обоснуй... - Ну только увидел и сразу... - Гм. Озорно, но верно. - Ну а что на свете всего быстрее? (Опять Вовочка тянется) - Погоди отрок - этак ты мне всю физику на хер сведешь...
Вовочка;"Учатся дети в Школе в каменном веке. писать. (У)чительница дает задание: У - дети нарисуйте кто-нибудь на этом камне ""небо"". Один мальчик выходит и рисует облака, птичку и т.д. У - молодец, на тебе 5 костей. У - дети, нарисуйте мне слово ""мясо"" Девочка выходит и рисует на камне убитого быка У - молодец, на тебе 5 костей У - дети, нарисуйте мне слово счастье Все молчат никто не выходит. Вдруг (В)овочка выходит и рисует на камне Х$Й У - молодец, на тебе 3 кости В - а посему три У - счастье пишется с двумя яйцами!"
Вовочка;В общем, идет в школе урок посвященный Великой Отечественной Войне, рассказывают про Концлагерь Освенцим. И вот начали спрашивать у детей, может кто из родствеников погиб там. Маша: -Вот у меня бабушка была там и умерла от голода, очень плохо кормили.
Вовочка;Петя: -А у меня дедушка тоже умер, он в камере повесился, не захотел терпеть тех голодных мучений. Вовочка: - И у меня дедушка там погиб!!!!!!! Училка: - А что с ним случилось? Вовочка: - Та был пьяный с вышки упал!!!!
Вовочка;Сыночек (С) и Мама (М): (С): Мама, можно я пописаю...? (М): А ты уроки сделал?
Вовочка;. Вовочка на уроке тянет руку. (У): Вовочка, ты хочешь что-то спросить? (В): Марья Иванна, отгадайте слово из трех букв. Вы его недавно держали в руках. (У): Вон из класса, негодяй! (В): Это мел, Марья Иванна, но ход ваших мыслей мне нравится.
Вовочка;- Папа, я хочу, чтобы ты мне купил настоящий автомат. - Автомат? Ты что, немного не в себе? - В себе, папа. Купи мне настоящий автомат! - Не говори глупостей, или я сейчас разозлюсь. Тогда Вова начинает стучать ногами и завывать. Отец дает сыну подзатыльник. - Я сыт по горло! И вообще, кто здесь командует? - Ты, - плача отвечает Вова, - но если бы у меня был автомат...
Вовочка;Вовочка говорит отцу: - Тебя в школу вызывают! - А в чем дело? - Да я там бомбочку маленькую взорвал. - Ну, если маленькую, то зачем мне в школу идти? - Правильно! Чего по развалинам ходить!
Вовочка; - Почему ты плачешь, Вовочка? - Мама сказала папе, что он козел, а папа ответил маме, что она корова. - Ну и что? - А кто же тогда я?
Вовочка; - Папа, откуда берутся слонята? - Видишь ли, Вовочка... - Только не рассказывай мне про аиста. Аиста его просто не поднимает.
Вовочка;"Вовочка: - Мама, сегодня директор школы спросила, есть ли у меня братья и сестры, и я сказал, что я - единственный ребенок в семье. - И что же она ответила? - Она сказала: ""Слава Богу!"""
Вовочка;На уроке природоведения учительница спрашивает: - Кто знает, почему аисты на зиму улетают в Африку? Встает Вовочка: - Понятное дело, негры тоже хотят иметь детей!
Вовочка;Учитель музыки говорит Вовочке: - Предупреждаю, что если не будешь вести себя как следует, я скажу твоим родителям, что у тебя есть талант.
Вовочка; - Алексей Петрович, вы допускаете телессные наказания в воспитательном процессе? - Если речь идет о моем Вовочке, то я его луплю только в целях самозащиты.
Вовочка;Учительница - Вовочке: - Ты почему не сделал уроки ? - Просто вчера у нас был пожар и погиб дедушка . - Так он что, сгорел ? - Да нет, он успел выпрыгнуть. - Так он что, разбился ? - Да нет, пожарные растянули тент, он на него упал, спружинил и влетел опять в окно. - Дак стало быть он сгорел ? - Да нет, он опять успел выпрыгнуть. - Дак стало быть разбился ? - Да нет, я ж говорил, пожарные растянули тент, он на него упал, спружинил и влетел опять в окно. - Так что, сгорел ? - Да нет, он опять успел выпрыгнуть. - Ну, значит, разбился ? - Да нет, я ж говорил, пожарные растянули тент, он на него упал, спружинил и влетел опять в окно. - Так что же с ним случилось...? - Да он пожарных достал и они его пристрелили.
Вовочка;"Мар Иванна,учителка 1""А"",принесла на урок статуэтку Венеры и начала опрос. Васечкину: -Скажи, Васечкин, что тебе больше нравиться в этой статуэтке? -Фигура. -Молодец, Васечкин, садись, пять! Петрову: -Петров, а тебе? -Груди. -Петров, выйди из класса. Вовочке: -Вовочка, ну а тебе что нравиться? -Ухожу, Мар Иванна, ухожу."
Вовочка;На уроке биологии. Учительница: - Вовочка, ну-ка не вертись-ка и не кривляйся, а лучше смотри на меня, а то так и не узнаешь строение и повадки обезьяны.
Вовочка;1-ое сентября встречаются две первокласницы - ну как дела. - нормально, а у тебя. - да вот сегодня Вовочке таакой минет в вестибюле сделала :-)) - а, что такое вестибюль ? :-()
Вовочка;Вовочка подходит к отцу: - Пап, давай бабушку трахнем! Отец: - Ты что, сынок, она же твоя бабушка! Вовочка: - Ну и что? Давай! Отец: - Как тебе не стыдно, она уже старенькая. Вовочка: - Да брось ты, давай! Отец: - В конце концов, она же моя мать! Вовочка: - Ну ты же мою мать каждый день трахаешь, я же тебе ничего не говорю!
Вовочка;У Вовочкиной сестры впервые случилась менструация. Испуганная насмерть, она побоялась спросить у родителей, что это такое, а вместо этого обра- тилась за помощью к Вовочке. - Скидай трусы, - скомандовал тот. - Да... Насколь я разбираюсь в ме- децине, по-моему, тебе оторвали яйца.
Вовочка;Вовочка приходит в школу с синяком подглазом. Учительница его спрашивает: -Вовочка,что это с тобой случилось? Вовочка рассказывает: -Да лег я вечером спать,мама подошла ко мнеи спрашивает:сплю ли я? Я ответил,что нет,и она,размахнувшись,залепила мне по физиономии. На следующий день Вовочка пришел в школу уже с двумя синяками,и учительница его опять спросила: -Вовочка,а на этот раз что с тобой случилось? -Да все тоже самое.Лег я вечером спать,мама подошла ко мне и спросила, сплю ли я?Я,помня вчерашнее,промолчал.Потом подошел папа и спросил, сплю ли я, ну папе я ответил,что еще нет,и он мне залепил синяк под второй глаз. На третий день Вовочка пришел в школу весь избитый,и учительница, ужаснувшись,спросила: -Вовочка,что с тобой,ты что,под машину попал? -Нет,Марья Ивановна,все было то же самое,мама с папой по очереди спросили,сплю ли я,на что я,естественно,промолчал,но когда папа сказал маме ПОЕХАЛИ,я просто спросил КУДА!
Вовочка;"Вовочка в школе писал сочинение""Как я провожу свой выходной день"". ""Утром мы с папой и мамой встаем,делаем зарядку,завтракаем и идем гулять.После прогулки обедаем и читаем газеты,пока мама моет посуду. Потом опять гуляем,смотрим телевизор,ужинаем и ложимся спать.После того,как я ложусь спать,мама с папой в другой комнате играют в козла"". Учительница,прочитав Вовочкино сочинение,спросил: -Вовочка,а что это за игра такая ""Козел""? -Не знаю,Марья Ивановна,просто папа шепотом говорит маме: -Я кончил! А мама ему отвечает,но уже громко: -Ну,козел!"
Вовочка;Вовочка с папой гуляют по парку,а там стоит скульптура Венеры. -Пап,а почему у нее рук нет? -Будешь грызть ногти,то же самое будет...
Вовочка;Дети по одному входят в класс и здороваются с учительницей.Только Вовочка всех растолкал и сразу плюхнулся на свое место.Учительница строго: -Вовочка!Выйди из класса и зайди нормально,как твой папа домой приходит! Вовочка вышел из класса.Вдруг дверь с треском распахивается: -Ну что,суки,не ждали?
Вовочка;"Вовочка приходит из школы и радостно сообщает: -Хотите,я вам слово из трех букв напишу? Мать дает ему пощечину,бабушка подзатыльник. Вовочка в слезах. Приходит отец и спрашивает: -В чем дело? Вовочка объясняет,что хотел написать слово ""мир"". Отец дает пощечину матери: -А ты что имела в виду? Вовочка: -И бабушке дай.Пускай об этом не думает."
Вовочка;-Дети,на дом я задаю вам задание,узнать,какого роста были пигмеи!.. На утро дети наперебой сообщают учительнице: -Рост пигмеев 110 сантиметров!.. -Нет,120!.. Встает Вовочка: -Нина Петровна!Рост пигмеев 68 сантиметров-я сам мерил!.. -А как мерил,Вовочка? -Мне мама сказала,что они ей до задницы!..
Вовочка;Удрученный Вовочка приходит домой. -Что случилось,Вовка?!-спрашивает отец. -Двойку получил.Не знал,у кого самые большие яйца... -Да?И у кого же? -У страуса. -Гляди ты!Теперь понятно,почему он писал медленные вальсы!..
Вовочка;Приходит Вовочка в школу избитый. Учительница спрашивает его: - Что случилось? - Да вчера папа с приятелями в преферанс играл. Он и говорит мне - Ложись спать, поздно уже. Я спросил, который час, он ответил - Девять. А его приятели: - Вист. - Пас...
Вовочка;Вовочка: -Гражданка вы мне нужны как женщина,.... у меня мячик в женский туалет закатился.
Вовочка;Сегодня я убил пять мух, - рассказывает Вовочка маме. - Двух самцов и трех самок. - Да ну? А как же ты узнал их пол? - Две сидели на пивной бутылке, а три - на зеркале
Вовочка;В самый интересный момент в комнату к родителям входит Вовочка. Папа спрашивает: - Вовочка, ты кого хочет братика или сестренку? - Бегемотика! - Не получится. - Слезай, дай я попробую.
Вовочка;Папа с Вовочкой идут по улице и видят двух собачек. - Папа, а что собачки делают? - Видишь ли, сынок, та собачка, которая наверху, поранила себе лапку и не может идти. А та, которая внизу - очень добрая и помогает ей идти. - Папа, а почему добрых всегда е..ут?
Вовочка;Идет в школе урок обществоведения. Учительница спрашивает учеников: - Какие существуют виды денег? Один ученик отвечает: - Металлические. Другой: - Бумажные. - Правильно, дети. Тут Вовочка тянет руку. - Еще деревянные бывают! - Это кто тебе такую чушь сказал? - А вот папа говорил, что наша соседка за две палки себе шубу купила...
Вовочка;Вовочка, весь запыхавшийся и возбужденный, врывается в класс, опоздав на добрые двадцать минут. - Вовочка! Почему опаздываешь?!!! Урок уже 20 минут идет!!! - Ой, Марья Ивановна, да я тут в раздевалке картошку жарил! - Картошку? В радевалке? Странно... С шумом распахивается дверь - на пороге появляется изрядно помятая ученица. - Картошкина!!! А ты где гуляла?!!!
Вовочка;Вовочка подбежал к огромному псу и стал гладить его пышный хвост. Мать в испуге кричит: - Что ты делаешь? Он же укусит тебя! - Нет, мама, с этого конца они не кусаются.
Вовочка;Просыпается как то Вовочка ночью и слышит какие то непонятные звуки, подкрался к спальне родителей, a они там любовью занимались, и слышит как папа приговаривает: - хочу сына, хочу сына.... Вовочка ногой открывает дверь и толкает речь: - А мне буденовку, фломастеры и велосипед.
Вовочка;"Директор школы попросил Вовочку покрасить окна на четвертом эта- же. Через несколько часов Вовочка подходит к директору и спраши- вает: ""А рамы тоже красить?"""
Вовочка;"Учительница (видать году в 1945) спрашивает детей: - Дети кто и как из вас помогал фронту? Настя: - Я высылала на фронт кисеты с табаком. Маша: - Я помогала маме делать перевязки. Учительница: - Молодцы! Вовочка: - А я подносил солдатам снаряды! - Вовочка, да ты же настоящий герой! Тебя поблагодарили? - Да, мне сказали ""Зер гут, Вольдемар!"""
Вовочка;"Учительница дает задание составить стихотворение со словом ""статуя"". Встает Вовочка: -Стоит статуя в лучах заката. С таким вот х...м (разводит руки в стороны) В руке лопата. Учительница: -Вовочка, а можно без мата? -Пожалуйста: -Стоит статуя в лучах заката С таким вот х...м (разводит руки чуть поуже) В руке лопата. Учительница умоляющим голосом: -Вовочка, ну а совсем-совсем без мата... -Да нет проблем: -Стоит статуя в лучах заката а вместо х...я торчит лопата."
Вовочка;"Учительница: -Дети, назовите зверя на букву ""П"" Встает Маша: -Пантера. -Молодец Маша, пять. Вовочка: -А можно я? -Можно, только пожалуйста без пошлостей. -Ну хорошо,-по'doom'ал, по'doom'ал,-А-а, при'doom'ал! Папонт! -8-O? А это что за зверь ? -А зто такой зверь, который мамонтов е*&ет."
Вовочка;"- Опять ты с сигаретой, Вовочка! - сердится бабушка. - А ведь сколько раз тебе говорили: ""Курение сокращает жизнь!"" - Да? А как же дед наш? Курит, а до 70-ти дожил. _ Вот-вот! Не курил бы, уже 80-тбыло бы."
Вовочка;В школу приежает коммисия и учительница инструктирует девочек: -Если Вовочка, чтото ляпнет вы встаните и уйдете. Инспектор заходит в класс и спрашивает: -Дети, что бы вы хотели пострроить? Маша: -Школу. Петя: -Дворец пионеров. Таня: -Садик. Вовочка: -Публичный дом. Девочки встают и уходят. Вовочка: -Куда б-L-|? Я ведь только заложил фундамент.
Вовочка;Идет урок в школе. Учительница спрашивает: - Дети, назовите какой-нибудь сосуд. Вовочка: - Член. - Но это же не сосуд! - Сосут, еще как сосут!
